variable;value
date;30.06.2017
type;bond
currency;CZK
;
term_M;yield_real
3;-0,00602
6;-0,00573
12;-0,00506
24;-0,00245
36;-0,00126
48;0
60;0,00074
120;0,00881
180;0,01147
600;0,02331
